step,active_population,mean_energy
0,96,0.7450000643730164
10,96,0.6950000524520874
20,96,0.6450001001358032
30,96,0.595000147819519
40,96,0.5450001955032349
50,96,0.4950002431869507
60,96,0.4450002908706665
70,96,0.3950003385543823
80,96,0.34500038623809814
90,96,0.29500043392181396
100,48,0.24500048160552979
110,48,0.1950005292892456
120,48,0.14500057697296143
130,48,0.09500058740377426
140,48,0.04500056803226471
150,0,0.0
150,0,0.0
